Date,AnalyzerSN,TestName,SampleClass,SampleType,VR1,BarcodeR1,VR2,BarcodeR2,CalibControlName,CalibControlLotNumber,SampleVolume,PackISE_SN,RefElectrode,NaElectrode,KElectrode,ClElectrode,LiElectrode,IsFactoryTest
2023-05-01 00:07:00,834002001,ISETEST,PATIENT,SER,180,,0,,ISE Calibrator,	22061007,95,	09EDA4C3090000BC,09/02/2023,09/02/2023,09/02/2023,09/02/2023,,True
2023-05-01 00:07:30,834002001,CALCIUM ARSENAZO,PATIENT,SER,300,57011052546524034734_BC,0,,,	,5,	,,,,,,True
2023-05-01 00:07:39,834002001,CALCIUM ARSENAZO,PATIENT,SER,300,57011052546524034734_BC,0,,,	,5,	,,,,,,True
2023-05-01 00:07:48,834002001,CALCIUM ARSENAZO,PATIENT,SER,300,57011052546524034734_BC,0,,,	,5,	,,,,,,True
2023-05-01 00:08:03,834002001,ISETEST,PATIENT,SER,180,,0,,ISE Calibrator,	22061007,95,	09EDA4C3090000BC,09/02/2023,09/02/2023,09/02/2023,09/02/2023,,True
2023-05-01 00:08:48,834002001,ISETEST,PATIENT,SER,180,,0,,ISE Calibrator,	22061007,95,	09EDA4C3090000BC,09/02/2023,09/02/2023,09/02/2023,09/02/2023,,True
2023-05-01 00:09:33,834002001,ISETEST,PATIENT,SER,180,,0,,ISE Calibrator,	22061007,95,	09EDA4C3090000BC,09/02/2023,09/02/2023,09/02/2023,09/02/2023,,True
2023-05-01 00:10:18,834002001,ISETEST,PATIENT,SER,180,,0,,ISE Calibrator,	22061007,95,	09EDA4C3090000BC,09/02/2023,09/02/2023,09/02/2023,09/02/2023,,True
2023-05-01 00:11:03,834002001,ISETEST,PATIENT,SER,180,,0,,ISE Calibrator,	22061007,95,	09EDA4C3090000BC,09/02/2023,09/02/2023,09/02/2023,09/02/2023,,True
2023-05-01 00:12:24,834002001,ISETEST,PATIENT,SER,180,,0,,ISE Calibrator,	22061007,95,	09EDA4C3090000BC,09/02/2023,09/02/2023,09/02/2023,09/02/2023,,True
2023-05-01 00:13:09,834002001,ISETEST,PATIENT,SER,180,,0,,ISE Calibrator,	22061007,95,	09EDA4C3090000BC,09/02/2023,09/02/2023,09/02/2023,09/02/2023,,True
2023-05-01 00:23:57,834002001,ISE_PURGE_A,CALIB,,100,,0,,ISE Calibrator,	22061007,0,	09EDA4C3090000BC,,,,,,True
2023-05-01 00:23:57,834002001,ISE_PURGE_B,CALIB,,0,,100,,ISE Calibrator,	22061007,0,	09EDA4C3090000BC,,,,,,True
2023-05-01 01:20:47,834002001,CREATININE,PATIENT,SER,150,,150,,,	,30,	,,,,,,True
2023-05-01 01:20:56,834002001,GLUCOSE,PATIENT,SER,300,50311062547001020119_BC,0,,,	,3,	,,,,,,True
2023-05-01 01:21:05,834002001,BILI TOTAL DPD,PATIENT,SER,240,50611052345400001647_BC,60,50622052345400000794_BC,,	,6,	,,,,,,True
2023-05-01 01:21:11,834002001,ISETEST,PATIENT,SER,180,,0,,ISE Calibrator,	22061007,95,	09EDA4C3090000BC,09/02/2023,09/02/2023,09/02/2023,09/02/2023,,True
2023-05-01 01:21:41,834002001,LIPASE,PATIENT,SER,300,,60,,,	,3,	,,,,,,True
2023-05-01 01:21:50,834002001,ALT-GPT,PATIENT,SER,160,53311042340622060989_BC,40,53322042340622044152_BC,,	,16.5,	,,,,,,True
2023-05-01 01:21:59,834002001,AST-GOT,PATIENT,SER,160,53111062449775055678_BC,40,53122062449775061183_BC,,	,16.5,	,,,,,,True
2023-05-01 01:22:08,834002001,CREATININE,PATIENT,SER,150,,150,,,	,30,	,,,,,,True
2023-05-01 01:22:14,834002001,ISETEST,PATIENT,SER,180,,0,,ISE Calibrator,	22061007,95,	09EDA4C3090000BC,09/02/2023,09/02/2023,09/02/2023,09/02/2023,,True
2023-05-01 01:22:17,834002001,LDH,PATIENT,SER,160,58011072443364020662_BC,40,58022082443885014712_BC,,	,4,	,,,,,,True
2023-05-01 01:22:26,834002001,BILI DIRECT DPD,PATIENT,SER,240,50411122346907010859_BC,60,50422122346907045679_BC,,	,14,	,,,,,,True
2023-05-01 01:22:35,834002001,AMYLASE DIRECT,PATIENT,SER,300,55021092448524046405_BC,0,,,	,6,	,,,,,,True
2023-05-01 01:22:44,834002001,CK,PATIENT,SER,240,79011072547823001692_BC,60,79022072547823027221_BC,,	,15,	,,,,,,True
2023-05-01 01:22:53,834002001,CK-MB,PATIENT,SER,240,79211082446744005228_BC,60,79222112448008012036_BC,,	,12,	,,,,,,True
2023-05-01 01:23:02,834002001,GLUCOSE,PATIENT,SER,300,50311062547001020119_BC,0,,,	,3,	,,,,,,True
2023-05-01 01:23:11,834002001,CREATININE,PATIENT,SER,150,,150,,,	,30,	,,,,,,True
2023-05-01 01:23:20,834002001,UREA-BUN-UV,PATIENT,SER,240,51611122346880101819_BC,60,51622122346880016467_BC,,	,2,	,,,,,,True
