Date,AnalyzerSN,TestName,SampleClass,SampleType,VR1,BarcodeR1,VR2,BarcodeR2,CalibControlName,CalibControlLotNumber,SampleVolume,PackISE_SN,RefElectrode,NaElectrode,KElectrode,ClElectrode,LiElectrode,IsFactoryTest
2024-08-02 10:16:07,834001902,UREA-BUN-UV,BLANK,PLM,240,51611122453135014252_BC,60,51622122453135045236_BC,,	,2,	,,,,,,True
2024-08-02 10:16:16,834001902,UREA-BUN-UV,BLANK,PLM,240,51611122453135014252_BC,60,51622122453135045236_BC,,	,2,	,,,,,,True
2024-08-02 10:16:25,834001902,UREA-BUN-UV,BLANK,PLM,240,51611122453135014252_BC,60,51622122453135045236_BC,,	,2,	,,,,,,True
2024-08-02 10:16:34,834001902,CHOLESTEROL,BLANK,PLM,300,,0,,,	,3,	,,,,,,True
2024-08-02 10:16:43,834001902,CHOLESTEROL,BLANK,PLM,300,,0,,,	,3,	,,,,,,True
2024-08-02 10:16:52,834001902,CHOLESTEROL,BLANK,PLM,300,,0,,,	,3,	,,,,,,True
2024-08-02 10:17:01,834001902,UREA-BUN-UV,CALIB,SER,240,51611122453135014252_BC,60,51622122453135045236_BC,CALIBRADOR PRUEB,	079PA,2,	,,,,,,True
2024-08-02 10:17:10,834001902,CHOLESTEROL,CALIB,SER,300,,0,,CALIBRADOR PRUEB,	079PA,3,	,,,,,,True
2024-08-02 10:17:19,834001902,CHOLESTEROL,CALIB,SER,300,,0,,CALIBRADOR PRUEB,	079PA,3,	,,,,,,True
2024-08-02 10:17:28,834001902,CHOLESTEROL,CALIB,SER,300,,0,,CALIBRADOR PRUEB,	079PA,3,	,,,,,,True
2024-08-02 10:17:37,834001902,UREA-BUN-UV,PATIENT,SER,240,51611122453135014252_BC,60,51622122453135045236_BC,,	,2,	,,,,,,True
2024-08-02 10:17:46,834001902,CHOLESTEROL,PATIENT,SER,300,,0,,,	,3,	,,,,,,True
2024-08-02 10:17:55,834001902,UREA-BUN-UV,PATIENT,SER,240,51611122453135014252_BC,60,51622122453135045236_BC,,	,2,	,,,,,,True
2024-08-02 10:18:04,834001902,CHOLESTEROL,PATIENT,SER,300,,0,,,	,3,	,,,,,,True
