Date,AnalyzerSN,TestName,SampleClass,SampleType,VR1,BarcodeR1,VR2,BarcodeR2,CalibControlName,CalibControlLotNumber,SampleVolume,PackISE_SN,RefElectrode,NaElectrode,KElectrode,ClElectrode,LiElectrode,IsFactoryTest
2024-06-05 15:56:01,834001902,ISE_SIP,CALIB,,255265,,96732,,ISE Calibrator,	23021032,0,	0978B3C3090000CB,,,,,,True
2024-06-05 16:40:15,834001902,ISE_SIP,CALIB,,95,,36,,ISE Calibrator,	23021032,0,	0978B3C3090000CB,,,,,,True
2024-06-05 17:30:21,834001902,ISE_SIP,CALIB,,95,,36,,ISE Calibrator,	23021032,0,	0978B3C3090000CB,,,,,,True
2024-06-06 13:33:29,834001902,GLUCOSE,BLANK,PLM,300,50311042652032008765_BC,0,,,	,3,	,,,,,,True
2024-06-06 13:33:38,834001902,AST-GOT,BLANK,PLM,160,53111112452572023791_BC,40,53122112452572036540_BC,,	,16.5,	,,,,,,True
2024-06-06 13:33:47,834001902,GLUCOSE,PATIENT,SER,300,50311042652032008765_BC,0,,,	,3,	,,,,,,True
2024-06-06 13:33:56,834001902,GLUCOSE,PATIENT,SER,300,50311042652032008765_BC,0,,,	,3,	,,,,,,True
2024-06-06 13:34:05,834001902,GLUCOSE,PATIENT,SER,300,50311042652032008765_BC,0,,,	,3,	,,,,,,True
2024-06-06 13:34:14,834001902,GLUCOSE,PATIENT,SER,300,50311042652032008765_BC,0,,,	,3,	,,,,,,True
2024-06-06 13:34:23,834001902,GLUCOSE,PATIENT,SER,300,50311042652032008765_BC,0,,,	,3,	,,,,,,True
2024-06-06 13:34:32,834001902,AST-GOT,PATIENT,SER,160,53111112452572023791_BC,40,53122112452572036540_BC,,	,16.5,	,,,,,,True
2024-06-06 13:34:41,834001902,AST-GOT,PATIENT,SER,160,53111112452572023791_BC,40,53122112452572036540_BC,,	,16.5,	,,,,,,True
2024-06-06 13:34:50,834001902,AST-GOT,PATIENT,SER,160,53111112452572023791_BC,40,53122112452572036540_BC,,	,16.5,	,,,,,,True
2024-06-06 13:34:59,834001902,AST-GOT,PATIENT,SER,160,53111112452572023791_BC,40,53122112452572036540_BC,,	,16.5,	,,,,,,True
2024-06-06 13:35:08,834001902,AST-GOT,PATIENT,SER,160,53111112452572023791_BC,40,53122112452572036540_BC,,	,16.5,	,,,,,,True
