Date,AnalyzerSN,TestName,SampleClass,SampleType,VR1,BarcodeR1,VR2,BarcodeR2,CalibControlName,CalibControlLotNumber,SampleVolume,PackISE_SN,RefElectrode,NaElectrode,KElectrode,ClElectrode,LiElectrode,IsFactoryTest
2023-02-09 14:04:43,834002001,ISE_PRIME_B,CALIB,,0,,240,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:04:49,834002001,ISE_PRIME_B,CALIB,,0,,240,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:04:57,834002001,ISE_PRIME_B,CALIB,,0,,240,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:05:05,834002001,ISE_PRIME_B,CALIB,,0,,240,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:05:13,834002001,ISE_PRIME_B,CALIB,,0,,240,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:05:21,834002001,ISE_PRIME_B,CALIB,,0,,240,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:05:28,834002001,ISE_PRIME_B,CALIB,,0,,240,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:05:35,834002001,ISE_PRIME_B,CALIB,,0,,240,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:05:43,834002001,ISE_PRIME_B,CALIB,,0,,240,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:05:51,834002001,ISE_PRIME_B,CALIB,,0,,240,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:05:59,834002001,ISE_PRIME_B,CALIB,,0,,240,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:06:07,834002001,ISE_PRIME_B,CALIB,,0,,240,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:06:15,834002001,ISE_PRIME_B,CALIB,,0,,240,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:06:23,834002001,ISE_PRIME_B,CALIB,,0,,240,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:06:31,834002001,ISE_PRIME_B,CALIB,,0,,240,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:06:38,834002001,ISE_PRIME_B,CALIB,,0,,240,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:06:46,834002001,ISE_PRIME_B,CALIB,,0,,240,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:06:54,834002001,ISE_PRIME_B,CALIB,,0,,240,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:07:02,834002001,ISE_PRIME_B,CALIB,,0,,240,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:07:14,834002001,ISE_PRIME_A,CALIB,,240,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:07:19,834002001,ISE_PRIME_A,CALIB,,240,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:07:33,834002001,ISE_PRIME_A,CALIB,,240,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:07:41,834002001,ISE_PRIME_A,CALIB,,240,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:07:49,834002001,ISE_PRIME_A,CALIB,,240,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:07:57,834002001,ISE_PRIME_A,CALIB,,240,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:08:05,834002001,ISE_PRIME_A,CALIB,,240,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:08:12,834002001,ISE_PRIME_A,CALIB,,240,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:08:20,834002001,ISE_PRIME_A,CALIB,,240,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:08:28,834002001,ISE_PRIME_A,CALIB,,240,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:08:36,834002001,ISE_PRIME_A,CALIB,,240,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:08:44,834002001,ISE_PRIME_A,CALIB,,240,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:08:52,834002001,ISE_PRIME_A,CALIB,,240,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:09:00,834002001,ISE_PRIME_A,CALIB,,240,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:12:20,834002001,ISE_PRIME_A,CALIB,,240,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:12:28,834002001,ISE_PRIME_A,CALIB,,240,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:12:36,834002001,ISE_PRIME_A,CALIB,,240,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:12:44,834002001,ISE_PRIME_A,CALIB,,240,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:12:52,834002001,ISE_PRIME_A,CALIB,,240,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:13:00,834002001,ISE_PRIME_A,CALIB,,240,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:13:08,834002001,ISE_PRIME_A,CALIB,,240,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:13:16,834002001,ISE_PRIME_A,CALIB,,240,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:13:24,834002001,ISE_PRIME_A,CALIB,,240,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:17:01,834002001,ISE_PRIME_A,CALIB,,240,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:17:09,834002001,ISE_PRIME_A,CALIB,,240,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:17:17,834002001,ISE_PRIME_A,CALIB,,240,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:17:25,834002001,ISE_PRIME_A,CALIB,,240,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:23:28,834002001,ISE_PRIME_A,CALIB,,240,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:23:36,834002001,ISE_PRIME_A,CALIB,,240,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:23:53,834002001,ISE_PRIME_B,CALIB,,0,,240,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:24:01,834002001,ISE_PRIME_A,CALIB,,240,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:25:10,834002001,ISE_CALB,CALIB,,360,,360,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:26:50,834002001,ISE_PRIME_B,CALIB,,0,,240,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:26:58,834002001,ISE_PRIME_A,CALIB,,240,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:28:07,834002001,ISE_CALB,CALIB,,360,,360,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:28:23,834002001,ISE_PRIME_B,CALIB,,0,,240,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:28:31,834002001,ISE_PRIME_A,CALIB,,240,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:29:40,834002001,ISE_CALB,CALIB,,360,,360,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:30:05,834002001,ISE_PRIME_B,CALIB,,0,,240,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:30:13,834002001,ISE_PRIME_A,CALIB,,240,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:31:22,834002001,ISE_CALB,CALIB,,360,,360,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:41:57,834002001,ISE_PRIME_B,CALIB,,0,,240,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-02-09 14:42:04,834002001,ISE_PRIME_B,CALIB,,0,,240,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
