Date,AnalyzerSN,TestName,SampleClass,SampleType,VR1,BarcodeR1,VR2,BarcodeR2,CalibControlName,CalibControlLotNumber,SampleVolume,PackISE_SN,RefElectrode,NaElectrode,KElectrode,ClElectrode,LiElectrode,IsFactoryTest
2023-03-01 05:35:44,834002001,ISE_PURGE_A,CALIB,,100,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-03-01 05:35:44,834002001,ISE_SIP,CALIB,,2850,,1080,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-03-01 05:35:50,834002001,ISE_PURGE_B,CALIB,,0,,100,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-03-01 06:40:04,834002001,ISE_SIP,CALIB,,190,,72,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-03-01 06:59:54,834002001,ISE_CLEAN,CALIB,,180,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-03-01 07:01:11,834002001,ISE_CALB,CALIB,,360,,360,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-03-01 07:03:46,834002001,ISE_PUMP_CAL,CALIB,,175,,375,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-03-01 07:09:53,834002001,ISE_PURGE_A,CALIB,,100,,0,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-03-01 07:10:01,834002001,ISE_PURGE_B,CALIB,,0,,100,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-03-01 07:44:12,834002001,ISE_SIP,CALIB,,95,,36,,ISE Calibrator,	22061007,0,	092FFFC3090000A8,,,,,,True
2023-03-01 08:19:49,834002001,CHOL HDL DIRECT,BLANK,PLM,300,55711122443972063507_BC,100,55722122443972064106_BC,,	,3,	,,,,,,True
2023-03-01 08:19:58,834002001,CK,BLANK,PLM,240,,60,,,	,15,	,,,,,,True
2023-03-01 08:20:07,834002001,CK-MB,BLANK,PLM,240,79211082446744005228_BC,60,79222082446744003228_BC,,	,12,	,,,,,,True
2023-03-01 08:20:16,834002001,HBA1C-DIRECT,BLANK,WBL,190,,40,,,	,3,	,,,,,,True
2023-03-01 08:20:25,834002001,IRON FERROZINE,BLANK,PLM,240,50911022439678053836_BC,60,50922022439678037537_BC,,	,40,	,,,,,,True
2023-03-01 08:20:34,834002001,MAGNESIUM,BLANK,PLM,240,79711062547200020137_BC,60,79722062547200013579_BC,,	,3,	,,,,,,True
2023-03-01 08:20:43,834002001,PHOSPHORUS,BLANK,PLM,210,50811042546029020829_BC,90,50822042546029040070_BC,,	,3,	,,,,,,True
2023-03-01 08:20:52,834002001,GLUCOSE,BLANK,PLM,300,50311062547001144228_BC,0,,,	,3,	,,,,,,True
2023-03-01 08:21:01,834002001,BILI TOTAL DPD,BLANK,PLM,240,50611052345400001298_BC,60,50622052345400000569_BC,,	,6,	,,,,,,True
2023-03-01 08:21:10,834002001,FERRITIN,BLANK,SER,160,,80,,,	,8,	,,,,,,True
2023-03-01 08:21:19,834002001,PROTEIN TOTALBIR,BLANK,PLM,240,51311052446460003599_BC,60,51322052446460019891_BC,,	,4,	,,,,,,True
2023-03-01 08:21:28,834002001,ALT-GPT,BLANK,PLM,160,53311042340622060158_BC,40,53322042340622044433_BC,,	,16.5,	,,,,,,True
2023-03-01 08:21:37,834002001,AST-GOT,BLANK,PLM,160,53111112346323070171_BC,40,53122112346323029010_BC,,	,16.5,	,,,,,,True
2023-03-01 08:21:46,834002001,ALP-AMP,BLANK,PLM,240,59211122444312001147_BC,60,59222122444312021084_BC,,	,6,	,,,,,,True
2023-03-01 08:22:22,834002001,LIPASE,BLANK,PLM,300,,60,,,	,3,	,,,,,,True
2023-03-01 08:22:31,834002001,LDH,BLANK,PLM,160,58011082443885005990_BC,40,58022082443885001482_BC,,	,4,	,,,,,,True
2023-03-01 08:22:40,834002001,GAMMA-GT,BLANK,PLM,160,52011062444115008767_BC,40,52022062444115003618_BC,,	,20,	,,,,,,True
2023-03-01 08:22:49,834002001,ALBUMIN-MAU,BLANK,URI,240,,60,,,	,2,	,,,,,,True
2023-03-01 08:22:58,834002001,CREATININE,BLANK,PLM,150,,150,,,	,30,	,,,,,,True
2023-03-01 08:23:07,834002001,UREA-BUN-UV,BLANK,PLM,240,51611122346880101662_BC,60,51622122346880013217_BC,,	,2,	,,,,,,True
2023-03-01 08:23:16,834002001,BILI DIRECT DPD,BLANK,PLM,240,50411122346907010556_BC,60,50422122346907045949_BC,,	,10,	,,,,,,True
2023-03-01 08:23:25,834002001,CHOLESTEROL,BLANK,PLM,300,50511122447106096240_BC,0,,,	,3,	,,,,,,True
2023-03-01 08:23:34,834002001,PROTEIN URINE,BLANK,CSF,300,50121102344732008845_BC,0,,,	,6,	,,,,,,True
2023-03-01 08:23:43,834002001,TRIGLYCERIDES,BLANK,PLM,300,52811122347362017049_BC,0,,,	,3,	,,,,,,True
2023-03-01 08:23:52,834002001,URIC ACID,BLANK,PLM,300,52111062443880067930_BC,0,,,	,7.5,	,,,,,,True
2023-03-01 08:24:01,834002001,COMPLEMNT C3,BLANK,SER,250,,0,,,	,2,	,,,,,,False
2023-03-01 08:24:10,834002001,COMPLEMTE C4,BLANK,SER,240,,0,,,	,7,	,,,,,,False
2023-03-01 08:24:19,834002001,TRANFERRINA,BLANK,SER,300,,0,,,	,2,	,,,,,,False
2023-03-01 08:24:28,834002001,CALCIUM ARSENAZO,BLANK,PLM,300,57011112443659002900_BC,0,,,	,5,	,,,,,,True
2023-03-01 08:24:37,834002001,AMYLASE DIRECT,BLANK,PLM,300,,0,,,	,6,	,,,,,,True
2023-03-01 08:24:46,834002001,ALBUMIN,BLANK,PLM,300,54711052546530043241_BC,0,,,	,3,	,,,,,,True
2023-03-01 08:25:04,834002001,HBA1C-DIRECT,CTRL,WBL,190,,40,,CTL HBA1C,	052,3,	,,,,,,True
2023-03-01 08:25:13,834002001,HBA1C-DIRECT,CTRL,WBL,190,,40,,CTL 2 HBA1C,	045,3,	,,,,,,True
2023-03-01 08:38:25,834002001,HBA1C-DIRECT,PATIENT,WBL,190,,40,,,	,3,	,,,,,,True
2023-03-01 08:38:34,834002001,HBA1C-DIRECT,PATIENT,WBL,190,,40,,,	,3,	,,,,,,True
2023-03-01 08:38:43,834002001,HBA1C-DIRECT,PATIENT,WBL,190,,40,,,	,3,	,,,,,,True
2023-03-01 08:38:52,834002001,HBA1C-DIRECT,PATIENT,WBL,190,,40,,,	,3,	,,,,,,True
2023-03-01 08:39:01,834002001,HBA1C-DIRECT,PATIENT,WBL,190,,40,,,	,3,	,,,,,,True
2023-03-01 08:39:10,834002001,HBA1C-DIRECT,PATIENT,WBL,190,,40,,,	,3,	,,,,,,True
2023-03-01 08:39:19,834002001,HBA1C-DIRECT,PATIENT,WBL,190,,40,,,	,3,	,,,,,,True
2023-03-01 08:39:28,834002001,HBA1C-DIRECT,PATIENT,WBL,190,,40,,,	,3,	,,,,,,True
2023-03-01 08:39:37,834002001,HBA1C-DIRECT,PATIENT,WBL,190,,40,,,	,3,	,,,,,,True
2023-03-01 08:39:46,834002001,HBA1C-DIRECT,PATIENT,WBL,190,,40,,,	,3,	,,,,,,True
2023-03-01 08:39:55,834002001,HBA1C-DIRECT,PATIENT,WBL,190,,40,,,	,3,	,,,,,,True
2023-03-01 08:40:04,834002001,HBA1C-DIRECT,PATIENT,WBL,190,,40,,,	,3,	,,,,,,True
2023-03-01 08:40:13,834002001,HBA1C-DIRECT,PATIENT,WBL,190,,40,,,	,3,	,,,,,,True
2023-03-01 08:40:22,834002001,HBA1C-DIRECT,PATIENT,WBL,190,,40,,,	,3,	,,,,,,True
2023-03-01 08:40:31,834002001,HBA1C-DIRECT,PATIENT,WBL,190,,40,,,	,3,	,,,,,,True
2023-03-01 08:40:40,834002001,HBA1C-DIRECT,PATIENT,WBL,190,,40,,,	,3,	,,,,,,True
2023-03-01 08:40:49,834002001,HBA1C-DIRECT,PATIENT,WBL,190,,40,,,	,3,	,,,,,,True
2023-03-01 08:40:58,834002001,HBA1C-DIRECT,PATIENT,WBL,190,,40,,,	,3,	,,,,,,True
2023-03-01 08:41:07,834002001,HBA1C-DIRECT,PATIENT,WBL,190,,40,,,	,3,	,,,,,,True
2023-03-01 08:41:16,834002001,HBA1C-DIRECT,PATIENT,WBL,190,,40,,,	,3,	,,,,,,True
2023-03-01 08:41:25,834002001,HBA1C-DIRECT,PATIENT,WBL,190,,40,,,	,3,	,,,,,,True
2023-03-01 08:41:34,834002001,HBA1C-DIRECT,PATIENT,WBL,190,,40,,,	,3,	,,,,,,True
2023-03-01 08:41:43,834002001,HBA1C-DIRECT,PATIENT,WBL,190,,40,,,	,3,	,,,,,,True
