Date,AnalyzerSN,TestName,SampleClass,SampleType,VR1,BarcodeR1,VR2,BarcodeR2,CalibControlName,CalibControlLotNumber,SampleVolume,PackISE_SN,RefElectrode,NaElectrode,KElectrode,ClElectrode,LiElectrode,IsFactoryTest
2023-04-03 08:24:56,834002001,ISE_SIP,CALIB,,12635,,4788,,ISE Calibrator,	22061007,0,	09EDA4C3090000BC,,,,,,True
2023-04-03 08:28:24,834002001,ISE_CLEAN,CALIB,,180,,0,,ISE Calibrator,	22061007,0,	09EDA4C3090000BC,,,,,,True
2023-04-03 08:33:55,834002001,ISE_CALB,CALIB,,360,,360,,ISE Calibrator,	22061007,0,	09EDA4C3090000BC,,,,,,True
2023-04-03 08:37:37,834002001,ISE_CALB,CALIB,,360,,360,,ISE Calibrator,	22061007,0,	09EDA4C3090000BC,,,,,,True
2023-04-03 08:39:01,834002001,ISE_CALB,CALIB,,360,,360,,ISE Calibrator,	22061007,0,	09EDA4C3090000BC,,,,,,True
2023-04-03 08:40:24,834002001,ISE_CALB,CALIB,,360,,360,,ISE Calibrator,	22061007,0,	09EDA4C3090000BC,,,,,,True
2023-04-03 08:40:40,834002001,ISE_PURGE_A,CALIB,,100,,0,,ISE Calibrator,	22061007,0,	09EDA4C3090000BC,,,,,,True
2023-04-03 08:40:47,834002001,ISE_PURGE_B,CALIB,,0,,100,,ISE Calibrator,	22061007,0,	09EDA4C3090000BC,,,,,,True
2023-04-03 08:44:30,834002001,ISE_CLEAN,CALIB,,180,,0,,ISE Calibrator,	22061007,0,	09EDA4C3090000BC,,,,,,True
2023-04-03 08:46:01,834002001,ISE_PUMP_CAL,CALIB,,175,,375,,ISE Calibrator,	22061007,0,	09EDA4C3090000BC,,,,,,True
2023-04-03 08:47:26,834002001,ISE_CALB,CALIB,,360,,360,,ISE Calibrator,	22061007,0,	09EDA4C3090000BC,,,,,,True
2023-04-03 08:47:52,834002001,ISE_PURGE_A,CALIB,,100,,0,,ISE Calibrator,	22061007,0,	09EDA4C3090000BC,,,,,,True
2023-04-03 08:48:00,834002001,ISE_PURGE_B,CALIB,,0,,100,,ISE Calibrator,	22061007,0,	09EDA4C3090000BC,,,,,,True
2023-04-03 09:48:30,834002001,CHOL HDL DIRECT,BLANK,PLM,300,55711122443972064058_BC,100,55722122443972011276_BC,,	,3,	,,,,,,True
2023-04-03 09:48:39,834002001,CK,BLANK,PLM,240,79011072547823001658_BC,60,79022072547823031192_BC,,	,15,	,,,,,,True
2023-04-03 09:48:48,834002001,CK-MB,BLANK,PLM,240,79211082446744005228_BC,60,79222082446744003228_BC,,	,12,	,,,,,,True
2023-04-03 09:48:54,834002001,ISETEST,PATIENT,SER,180,,0,,ISE Calibrator,	22061007,95,	09EDA4C3090000BC,09/02/2023,09/02/2023,09/02/2023,09/02/2023,,True
2023-04-03 09:48:57,834002001,HBA1C-DIRECT,BLANK,WBL,190,,40,,,	,3,	,,,,,,True
2023-04-03 09:49:06,834002001,IRON FERROZINE,BLANK,PLM,240,50911122444189000887_BC,60,50922122444189011106_BC,,	,40,	,,,,,,True
2023-04-03 09:49:15,834002001,MAGNESIUM,BLANK,PLM,240,79711082548263014132_BC,60,79722082548263010231_BC,,	,3,	,,,,,,True
2023-04-03 09:49:24,834002001,PHOSPHORUS,BLANK,PLM,210,50811042546029021381_BC,90,50822042546029038987_BC,,	,3,	,,,,,,True
2023-04-03 09:49:33,834002001,GLUCOSE,BLANK,PLM,300,50311062547001025440_BC,0,,,	,3,	,,,,,,True
2023-04-03 09:49:42,834002001,BILI TOTAL DPD,BLANK,PLM,240,50611052345400001579_BC,60,50622052345400000907_BC,,	,6,	,,,,,,True
2023-04-03 09:49:51,834002001,FERRITIN,BLANK,SER,160,,80,,,	,8,	,,,,,,True
2023-04-03 09:49:57,834002001,ISETEST,PATIENT,SER,180,,0,,ISE Calibrator,	22061007,95,	09EDA4C3090000BC,09/02/2023,09/02/2023,09/02/2023,09/02/2023,,True
2023-04-03 09:50:00,834002001,PROTEIN TOTALBIR,BLANK,PLM,240,51311052446460014377_BC,60,51322052446460018755_BC,,	,4,	,,,,,,True
2023-04-03 09:50:09,834002001,ALT-GPT,BLANK,PLM,160,53311062447231034122_BC,40,53322062447231120603_BC,,	,16.5,	,,,,,,True
2023-04-03 09:50:18,834002001,AST-GOT,BLANK,PLM,160,53111112346323047063_BC,40,53122112346323020000_BC,,	,16.5,	,,,,,,True
2023-04-03 09:50:27,834002001,ALP-AMP,BLANK,PLM,240,,60,,,	,6,	,,,,,,True
2023-04-03 09:51:12,834002001,LIPASE,BLANK,PLM,300,,60,,,	,3,	,,,,,,True
2023-04-03 09:51:21,834002001,LDH,BLANK,PLM,160,58011072443364020651_BC,40,58022072443364022958_BC,,	,4,	,,,,,,True
2023-04-03 09:51:30,834002001,GAMMA-GT,BLANK,PLM,160,52011062444115007968_BC,40,52022062444115003629_BC,,	,20,	,,,,,,True
2023-04-03 09:51:39,834002001,ALBUMIN-MAU,BLANK,URI,240,,60,,,	,2,	,,,,,,True
2023-04-03 09:51:48,834002001,CREATININE,BLANK,PLM,150,50211122549931048726_BC,150,50212122549931057929_BC,,	,30,	,,,,,,True
2023-04-03 09:51:54,834002001,ISETEST,PATIENT,SER,180,,0,,ISE Calibrator,	22061007,95,	09EDA4C3090000BC,09/02/2023,09/02/2023,09/02/2023,09/02/2023,,True
2023-04-03 09:51:57,834002001,UREA-BUN-UV,BLANK,PLM,240,51611122346880101011_BC,60,51622122346880012182_BC,,	,2,	,,,,,,True
2023-04-03 09:52:06,834002001,BILI DIRECT DPD,BLANK,PLM,240,50411122346907026137_BC,60,50422122346907044533_BC,,	,10,	,,,,,,True
2023-04-03 09:52:15,834002001,CHOLESTEROL,BLANK,PLM,300,50511122447106094732_BC,0,,,	,3,	,,,,,,True
2023-04-03 09:52:24,834002001,PROTEIN URINE,BLANK,CSF,300,50121102344732010242_BC,0,,,	,6,	,,,,,,True
2023-04-03 09:52:33,834002001,TRIGLYCERIDES,BLANK,PLM,300,52811122347362042597_BC,0,,,	,3,	,,,,,,True
2023-04-03 09:52:42,834002001,URIC ACID,BLANK,PLM,300,52111082444665069497_BC,0,,,	,7.5,	,,,,,,True
2023-04-03 09:52:51,834002001,COMPLEMNT C3,BLANK,SER,250,,0,,,	,2,	,,,,,,False
2023-04-03 09:53:00,834002001,COMPLEMTE C4,BLANK,SER,240,,0,,,	,7,	,,,,,,False
2023-04-03 09:53:09,834002001,TRANFERRINA,BLANK,SER,300,,0,,,	,2,	,,,,,,False
2023-04-03 09:53:18,834002001,CALCIUM ARSENAZO,BLANK,PLM,300,57011052546524034251_BC,0,,,	,5,	,,,,,,True
2023-04-03 09:53:27,834002001,AMYLASE DIRECT,BLANK,PLM,300,55021092448524028001_BC,0,,,	,6,	,,,,,,True
2023-04-03 09:53:36,834002001,ALBUMIN,BLANK,PLM,300,54711052546530043768_BC,0,,,	,3,	,,,,,,True
2023-04-03 09:53:45,834002001,CK,CALIB,SER,240,79011072547823001658_BC,60,79022072547823031192_BC,MULTI,	075,15,	,,,,,,True
