periodo,mes_planeacion,tipo_de_servicio,plataforma,localidad,ns,observaciones,servicio,acompanante,dias
04 AL 08 MAYO,MAYO,INSTALACION,BA200,MERIDA,834002884,CAPACITACION,MARTHA,,
11 AL 15 MAYO,MAYO,PREVENTIVO,BA400,CDMX GRUPO ARIES,834002663,COMODATO,DIEGO G,MARTHA,
11 AL 15 MAYO,MAYO,PREVENTIVO,A15,CDMX H. San Luis,83105C1233,COMODATO,LALO,MARTHA,
11 AL 15 MAYO,MAYO,PREVENTIVO,BA200,H. de la Mujer,832002185,COMODATO,BENJA/MEMO,MARTHA,
11 AL 15 MAYO,MAYO,PREVENTIVO,BA400,H. de la Mujer,834002891,COMODATO,BENJA/MEMO,MARTHA,
11 AL 15 MAYO,MAYO,PREVENTIVO,BA400,H. homeopatico,834001811,COMODATO,BENJA/MEMO,MARTHA,
11 AL 15 MAYO,MAYO,CAPACITACION,,CAPACITACION,,GDL,HECTOR,,
18 AL 22 MAYO,MAYO,PREVENTIVO,BA200,"DIAGNOSTICA LAB, QUERETARO",832002312,COMODATO,,,
18 AL 22 MAYO,MAYO,PREVENTIVO,A25,ATLAPEXCO LAB IBARRA,831016238,GARANTIA 1,GUILLERMO,,
18 AL 22 MAYO,MAYO,PREVENTIVO,BA200,SLP LAB,832001686,GARANTIA 1,FRANCISCO,,
18 AL 22 MAYO,MAYO,PREVENTIVO,BA400,CDMX AIMSA,834002674,COMODATO,GUILLERMO,,
18 AL 22 MAYO,MAYO,CAPACITACION,,CAPACITACION,,GDL,HECTOR,,
25 AL 29 MAYO,MAYO,PREVENTIVO,BA200,ZACALTELCO JUSTINIANO,832001780,GARANTIA UNICO,,,
25 AL 29 MAYO,MAYO,PREVENTIVO,A15,CDMX FTES BROTANTES,831057575,COMODATO,GUILLERMO,,
25 AL 29 MAYO,MAYO,PREVENTIVO,BA400,CDMX Lab ADS,834002885,COMODATO,GUILLERMO,,
25 AL 29 MAYO,MAYO,PREVENTIVO,BA400,CDMX Lab ADS,834001909,COMODATO,GUILLERMO,,
01 AL 05 JUNIO,JUNIO,PREVENTIVO,Y15,COAHUILA BUENA FE,831060931,,FRANCISCO,CARLOS,
01 AL 05 JUNIO,JUNIO,PREVENTIVO,Y15,COAHUILA VIÑEDOS DON LEO,831060627,,FRANCISCO,CARLOS,
01 AL 05 JUNIO,JUNIO,PREVENTIVO,Y15,BODEGAS CASA MADERO,831061135,REQUIEREN PAGO,FRANCISCO,CARLOS,
01 AL 05 JUNIO,JUNIO,PREVENTIVO,A15,TORREON HOSP UNIVERSIDAD,83105C1228,COMODATO RONUAG,FRANCISCO,CARLOS,
01 AL 05 JUNIO,JUNIO,CAPACITACION,NA,CAPACITACION EL SALVADOR,NA,GDL,HECTOR,,
08 AL 12 JUNIO,JUNIO,PREVENTIVO,IPRO,AGUASCALIENTES CAMPESTRE,841011145,REQUIERE PAGO,FRANCISCO,,
08 AL 12 JUNIO,JUNIO,PREVENTIVO,BA200,SLP LAB,832001686,GARANTIA 1,FRANCISCO,,
08 AL 12 JUNIO,JUNIO,PREVENTIVO,A25,SLP,831014886,PENDIENTE PAGO,FRANCISCO,,
15 AL 19 JUNIO,JUNIO,PREVENTIVO,A25,ATLAPEXCO LAB IBARRA,831016238,GARANTIA 1,PENDIENTE,,
15 AL 19 JUNIO,JUNIO,PREVENTIVO,A25,Biomédicos de Mérida,831057769,COMODATO,,,
15 AL 19 JUNIO,JUNIO,PREVENTIVO,BA400,Centro Químico Huayacan,834002884,COMODATO,,,
22 AL 26 JUNIO,JUNIO,PREVENTIVO,Y15,Ags Vinicola Sta Elena,831060567,REQUIEREN PAGO,FRANCISCO,CARLOS,
22 AL 26 JUNIO,JUNIO,PREVENTIVO,Y15,Ags Vinicola El Secreto,831060843,REQUIEREN PAGO,FRANCISCO,CARLOS,
